							Insulin=0.01nM	(Dataset 1 of 3)							Insulin=1nM	(Dataset 1 of 3)							Insulin=100nM	(Dataset 1 of 3)							Insulin=0.01nM	(Dataset 2 of 3)							Insulin=1nM	(Dataset 2 of 3)							Insulin=100nM	(Dataset 2 of 3)							Insulin=0.01nM	(Dataset 3 of 3)							Insulin=1nM	(Dataset 3 of 3)							Insulin=100nM	(Dataset 3 of 3)							
46	Asp	L-Aspartate	C00049	C00402	C16433		11	22	30	40	54	53	53	30	13	23	30	33	43	44	42	26	12	25	27	32	42	39	37	23	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	12	22	30	43	55	58	58	43	13	20	31	37	44	47	45	34	14	22	26	35	42	42	44	31	-0.845569081
46*	Asp*	L-Aspartate	C00049	C00402	C16433		11	22	33	44	59	57	62	34	14	25	33	37	47	49	47	28	14	30	31	36	47	43	43	27	8.2	17.1	26.1	37	41	50.1	50.7	31.2	7.4	16.4	24.3	30.9	37.4	40.4	40.9	27.8	6.9	15.3	23.3	28.8	33.5	36.1	35.8	22.2	13	26	35	50	63	66	66	50	15	23	36	43	52	55	53	40	16	26	31	41	50	50	52	37	-1.60358452
47	Glutathione(red)	Glutathione	C00051				127	133	134	126	121	131	129	124	125	127	127	121	122	120	56	128	118	111	120	119	125	108	57	120	89.1	98.7	90.5	112	109	106	92.1	124	103	105	105	94.1	105	100	94.4	70.5	105	104	96.5	83.3	96.5	87.8	90.1	79.4	105	108	89	58	114	114	98	118	110	88	123	110	114	118	113	128	119	116	93	115	101	112	113	123	-0.573005217
48	CMP	CMP	C00055				0.047	0.057	0.052	0.044	0.05	0.049	0.044	0.05	0.046	0.054	0.052	0.047	0.045	0.047	0.044	0.057	0.049	0.044	0.052	0.05	0.046	0.035	0.042	0.047	0.05	0.054	0.043	0.054	0.037	0.038	0.035	0.045	0.043	0.051	0.052	0.047	0.045	0.041	0.039	0.067	0.04	0.034	0.042	0.047	0.036	0.038	0.043	0.051	0.038	0.037	0.046	0.04	0.044	0.035	0.034	0.044	0.039	0.04	0.04	0.032	0.024	0.028	0.032	0.04	0.038	0.044	0.044	0.024	0.029	0.037	0.042	0.044	-0.511406721
49	Arg	L-Arginine	C00062	C00792			8	10	8.6	7.9	8.9	10	10	9.3	9.3	7.6	7.3	6.9	10	11	9.8	10	9.2	7.6	8.4	7.1	11	11	12	10	10.5	10	9.8	10.7	10.3	10.2	8.3	9.5	8.7	8.2	8.1	6.8	9.4	9.3	10.1	11.5	7.3	8.6	7.1	7.4	12.6	12.9	10	11.8	6.9	8.4	6.7	7.4	8.1	7.7	8.1	8	7.3	8	6.4	5.8	9.7	8.3	7.5	10	7.2	7.8	6.3	5.8	9.7	9.2	8.9	11	0.887204968
50	CTP	CTP	C00063				0.84	1.7	1.2	0.7	0.81	1.1	1.1	0.86	1.5	0.92	1.1	0.84	1.2	1.2	0.77	0.72	1.2	0.78	1.6	0.73	0.8	0.82	1.3	0.61	1.8	1.8	1.5	1.5	1.4	1.4	0.81	0.79	1.2	1	1.5	0.95	1.5	1	0.96	1.5	0.94	1.5	1.3	1.2	1.9	1.7	0.81	0.89	0.77	0.86	0.6	0.66	0.6	0.57	0.62	0.55	0.71	0.66	0.62	0.57	0.81	0.55	0.45	0.58	0.72	0.67	0.69	0.58	0.71	0.63	0.54	0.58	0.262573778
51	Gln	L-Glutamine	C00064	C00819	C00303		78	89	99	97	97	97	100	93	83	91	96	94	91	90	88	89	84	90	96	93	95	88	83	82	78.3	78.4	82.8	79.5	79.3	80.4	79.5	82.9	73.1	73.9	75.2	73.8	74.8	70.7	71.1	74.9	72.5	74.9	74.6	73.5	74.4	69.6	69.1	71.1	74	82	85	86	88	90	85	89	79	79	88	81	82	84	78	88	79	80	82	81	85	79	75	81	-0.685876098
52	Ser	L-Serine	C00065	C00740	C00716		13	15	16	17	19	20	22	21	16	16	17	18	19	21	22	22	16	18	16	18	21	21	22	26	12.6	10.9	12.6	13.7	14.4	14	15.3	17.1	11.8	10.8	9.5	12.7	14.8	13.9	17.1	16.8	11.8	10.9	11.5	13.5	14.3	14.3	17.3	18.6	14	15	16	16	18	19	19	20	15	15	15	15	17	19	19	23	15	14	14	16	19	19	21	23	0.350100854
53	Met	L-Methionine	C00073				2.4	2.6	2.8	2.7	2.7	3.1	3.2	3	2.7	3.1	3	2.9	2.8	2.9	2.8	3.1	2.9	3.1	3	3	3	2.9	2.8	2.8	2.6	2.5	2.7	2.6	2.6	2.6	2.6	2.8	2.5	2.5	2.7	2.5	2.6	2.3	2.4	2.7	2.5	2.7	2.6	2.5	2.7	2.5	2.5	2.7	2.1	2.6	2.7	2.8	2.8	2.7	2.5	2.8	2.3	2.5	2.6	2.7	2.6	2.6	2.5	2.8	2.4	2.5	2.5	2.4	2.6	2.5	2.5	2.8	-0.370796912
54	UTP	UTP	C00075				3.8	6.3	4.6	2.9	3.5	4.7	4.5	3.5	5.8	3.8	4.4	3.4	5.1	5	3.3	2.9	4.9	3.3	6.1	3.2	3.5	3.6	5.5	2.6	6.1	6.4	5.5	5.6	5.5	5.4	3.4	3.5	4.3	4.4	5.4	3.6	6.2	4.3	4	6.3	3.7	5.6	5.1	4.4	7	6.5	3.2	3.6	3.3	3.4	2.5	2.5	2.4	2.6	2.6	2.3	2.9	2.7	2.3	2.3	3.3	2.5	1.9	2.6	2.9	2.6	2.6	2.4	2.8	2.5	2.3	2.5	-0.261002135
55	Trp	L-Tryptophan	C00078	C00525	C00806		0.76	0.88	1	0.96	0.96	0.98	0.94	0.89	0.83	0.93	0.98	0.91	0.87	0.92	0.93	0.83	0.94	0.98	1	0.93	0.97	0.89	0.88	0.98	0.84	0.85	0.87	0.85	0.84	0.82	0.79	0.87	0.78	0.78	0.85	0.76	0.8	0.74	0.73	0.78	0.74	0.83	0.83	0.77	0.8	0.73	0.75	0.78	0.68	0.83	0.89	0.87	0.95	0.87	0.89	0.8	0.78	0.88	0.96	0.84	0.79	0.8	0.78	0.92	0.79	0.98	0.92	0.86	0.9	0.8	0.78	0.85	-0.476412572
56	Phe	L-Phenylalanine	C00079				1.9	2.8	3.1	3	2.9	2.9	2.9	2.6	2	2.9	3.1	3	2.9	2.9	2.8	2.4	2.3	3.1	3.2	3	3.1	3	2.9	2.7	1.7	2	2.2	2.2	2.1	2	2	2	1.6	2.1	2.2	2	2.1	1.9	1.9	1.9	1.6	2.2	2.2	2	2	2	2	1.9	1.9	2.9	2.7	2.9	2.9	2.8	2.7	2.6	2	2.8	2.9	2.7	2.6	2.6	2.4	2.8	2.1	2.8	2.9	2.7	2.7	2.5	2.5	2.5	-0.145910679
57	Tyr	L-Tyrosine	C00082	C06420	C01536		4.1	3.8	4.1	4.1	4	4.1	4.1	4.4	4.1	3.9	3.8	3.8	3.8	3.8	3.8	4.2	4.3	3.8	3.9	3.6	3.8	3.6	3.6	4.1	4.3	3.5	3.7	3.8	3.8	3.8	3.6	4.2	4	3.6	3.7	3.5	3.6	3.3	3.5	3.9	4	3.7	3.7	3.5	3.6	3.4	3.6	3.9	3.2	3.2	3.3	3.4	3.5	3.4	3.4	3.7	3.6	3.2	3.3	3.1	3.1	3.1	3	3.6	3.4	3.2	3.2	3.2	3.2	3.2	3.2	3.4	-0.45369911
58	Malonyl CoA	Malonyl-CoA	C00083				0.16	0.13	0.079	0.092	0.13	0.16	0.11	0.089	0.22	0.068	0.082	0.11	0.17	0.19	0.16	0.24	0.16	0.15	0.11	0.16	0.19	0.2	0.17	0.18	0.13	0.11	0.15	0.16	0.14	0.18	0.21	0.19	0.077	0.17	0.14	0.2	0.25	0.27	0.25	0.32	0.22	0.17	0.17	0.21	0.22	0.28	0.27	0.34	0.13	0.11	0.084	0.1	0.11	0.14	0.12	0.17	0.14	0.089	0.08	0.11	0.12	0.17	0.16	0.19	0.14	0.15	0.11	0.16	0.13	0.11	0.12	0.17	0.847997774
59	Urea	Urea	C00086				2	2	2.7	2.2	1.9	1.9	2.1	2	1.4	1.6	1.7	1.7	2	1.5	1.7	1.5	1.9	1.4	1.6	1.5	1.6	1.6	1.7	1.6	2.3	2.5	2.8	2.5	2.2	2.6	3.4	2.3	2.7	1.9	2.2	2.1	2.8	2.2	1.7	2	2	2.1	2.5	2.4	2.5	2.2	2	1.9	2.5	3.6	4.1	3.5	3.1	3.1	3.1	3	2.9	3.5	3.4	3.2	2.8	2.9	3	2.7	3	3.4	2.6	2.9	3	3.1	3.2	3.2	-0.482649333
60	Glycerophosphate	sn-Glycerol 3-phosphate	C00093	C03189			10	5.6	4.9	3.1	3.3	3.6	4.2	6	9.6	5.5	4.6	3.9	3.7	4.2	5.2	7.9	10	5.1	5.3	4.5	3.4	3.7	5.3	8.2	10.2	7.6	6.3	4.3	4.9	4.4	5	7.8	9.6	8.3	6.6	5.8	5.7	5.5	6.3	7.8	10.5	8.3	7	6.3	5.3	5.2	7.5	10.4	7.2	5.8	3.8	2.9	2.6	3.2	3.4	4.5	8.1	5.1	4.3	3.4	3.2	4	4.5	6.2	7.4	5	4.5	3.4	3.2	3.5	4.5	6.6	0.786985453
61	GDP-mannose	GDP-mannose	C00096				N.D.	0.16	0.12	N.D.	N.D.	0.15	0.15	0.095	N.D.	N.D.	N.D.	N.D.	0.14	0.14	N.D.	N.D.	N.D.	N.D.	0.15	N.D.	N.D.	N.D.	N.D.	N.D.	0.14	0.13	0.1	0.14	0.14	0.15	0.13	0.12	0.11	0.11	0.12	0.11	0.15	0.12	0.13	0.13	0.11	0.12	0.094	0.092	0.12	0.14	0.11	0.097	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	0.078	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	-0.837917768
62	Cys	L-Cysteine	C00097	C00793	C00736		N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	0.22	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.
63	beta-Ala	beta-Alanine	C00099				0.11	0.089	0.17	0.12	0.12	0.13	0.12	0.1	0.098	0.11	0.1	0.14	0.16	0.12	0.13	0.17	0.13	0.11	0.16	0.24	0.21	0.13	0.14	0.13	N.D.	N.D.	0.23	N.D.	N.D.	N.D.	0.13	0.16	N.D.	0.093	0.13	0.1	0.14	0.11	0.13	N.D.	0.099	N.D.	0.1	0.15	0.13	0.11	0.086	0.11	0.13	0.097	0.13	0.13	0.11	0.18	0.13	0.16	0.12	0.12	0.19	0.13	0.13	0.14	0.15	0.16	0.14	0.12	0.11	0.14	0.17	0.18	0.18	0.13	0.690056302
64	G1P	D-Glucose 1-phosphate	C00103	C00663			1.2	1.5	1.6	1.2	1.2	1.5	1.2	1.2	1.3	1.3	1.6	1.4	1.2	1.4	1.2	1.5	1.2	1.2	1.3	1.2	1.4	1.4	1.2	1.4	0.79	0.87	0.94	1.1	0.89	0.92	0.92	1	0.76	0.83	0.98	1	1.1	0.92	1	1.2	0.75	0.9	0.9	0.96	1	0.97	1	1.3	0.82	0.95	1.1	1	0.96	0.98	1.1	0.89	0.89	0.87	0.98	0.99	0.99	1	1	1.1	0.79	0.87	0.92	0.91	0.9	0.91	0.96	1	0.298197877
65	UMP	UMP	C00105				0.25	0.14	0.37	0.19	0.17	0.19	0.29	0.32	0.19	0.21	0.23	0.14	0.19	0.14	0.26	0.17	0.31	0.12	0.24	0.12	0.14	0.12	0.28	0.18	0.17	0.15	0.16	0.14	0.17	0.19	0.22	0.2	0.2	0.19	0.19	0.13	0.21	0.17	0.28	0.37	0.22	0.18	0.17	0.2	0.19	0.21	0.24	0.23	0.13	0.14	0.12	0.13	0.12	0.1	0.085	0.12	0.11	0.1	0.1	0.063	0.13	0.13	0.15	0.14	0.13	0.11	0.12	0.12	0.13	0.15	0.18	0.18	0.177293018
66	DHAP	Glycerone phosphate	C00111				0.6	3.4	0.47	0.6	1.6	1.1	0.68	0.43	1.6	2.2	1.7	1.6	1.4	2.4	1.2	1.9	0.85	2.3	1.2	1.8	1.8	2.7	1.2	1.2	2.8	2.4	1.6	1.7	1.4	1.3	1.2	1.3	1.2	2.9	1.8	2.7	2.1	1.9	1.5	1.3	1.3	2.2	3.3	1.6	2.2	2	2	1.8	1	1.7	1.7	0.75	1.2	1.3	1.4	0.94	1	1.9	1.5	2.7	0.98	1	0.91	1.4	0.7	1.5	1	0.87	1.1	0.95	0.91	0.93	0.719263653
67	CDP	CDP	C00112				0.054	0.062	0.053	0.03	0.04	0.056	0.049	0.042	0.064	0.039	0.046	0.033	0.05	0.051	0.041	0.044	0.061	0.03	0.051	0.034	0.041	0.038	0.074	0.044	0.069	0.056	0.048	0.046	0.046	0.048	0.04	0.035	0.058	0.041	0.048	0.033	0.047	0.043	0.049	0.085	0.046	0.041	0.045	0.043	0.06	0.047	0.042	0.046	0.037	0.031	0.023	0.019	0.022	0.026	0.03	0.03	0.037	0.028	0.026	0.017	0.031	0.025	0.023	0.029	0.034	0.022	0.026	0.027	0.028	0.033	0.035	0.039	0.485800711
68	Choline	Choline	C00114				26	35	45	47	52	47	51	41	31	44	37	44	55	47	48	41	33	38	39	47	56	53	49	40	0.44	0.44	0.54	0.54	0.56	0.56	0.54	0.48	0.4	0.46	0.4	0.42	0.61	0.55	0.57	0.41	0.39	0.39	0.33	0.42	0.57	0.53	0.5	0.44	33	44	43	41	48	45	42	46	35	43	38	34	46	44	42	44	31	37	32	34	48	49	44	44	-0.042529474
69	R5P	D-Ribose 5-phosphate	C00117	C03736			N.D.	0.081	N.D.	N.D.	0.047	0.034	N.D.	N.D.	0.041	0.046	0.048	0.056	0.052	0.066	0.027	0.056	N.D.	0.052	0.06	0.043	0.036	0.069	0.036	N.D.	0.045	0.05	0.03	0.045	0.037	N.D.	0.041	0.027	0.031	0.042	0.036	0.06	0.045	0.045	0.037	0.03	N.D.	0.065	0.056	0.044	0.058	0.055	0.029	0.043	0.024	0.042	0.058	N.D.	0.031	0.039	0.048	N.D.	0.023	0.02	N.D.	0.051	N.D.	N.D.	N.D.	N.D.	N.D.	0.021	N.D.	N.D.	0.019	N.D.	N.D.	N.D.	0.513888103
70	PRPP	5-Phospho-alpha-D-ribose 1-diphosphate	C00119				0.023	0.051	0.075	0.031	N.D.	0.033	0.049	0.052	0.043	0.02	0.03	N.D.	0.032	0.027	N.D.	N.D.	0.031	N.D.	0.037	N.D.	N.D.	0.022	0.046	N.D.	0.1	0.16	0.076	0.083	0.081	0.052	0.047	0.033	0.056	0.07	0.065	N.D.	0.055	N.D.	0.04	0.1	N.D.	0.074	N.D.	0.049	0.042	0.065	0.044	N.D.	0.029	0.022	N.D.	N.D.	N.D.	N.D.	N.D.	0.014	0.038	N.D.	0.022	0.023	0.04	0.028	0.021	0.025	0.026	0.03	0.018	0.023	0.035	0.035	0.033	0.034	-0.351188159
71	Biotin	Biotin	C00120				0.36	0.5	0.52	0.54	0.48	0.59	0.59	0.5	0.42	0.46	0.5	0.54	0.48	0.51	0.56	0.58	0.42	0.44	0.56	0.6	0.53	0.52	0.63	0.56	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	0.46	0.57	0.51	0.67	0.53	0.62	0.65	0.58	0.44	0.48	0.57	0.62	0.54	0.57	0.63	0.63	0.48	0.54	0.5	0.64	0.58	0.56	0.59	0.67	0.367059401
72	Leu	L-Leucine	C00123	C01570	C16439		9.7	11	12	12	12	12	12	12	11	12	12	12	12	12	12	11	11	12	12	12	12	12	11	12	10.2	9.8	10.8	10.4	10.2	10.3	9.8	11.2	9.9	9.9	10.3	9.8	10.2	9.8	9.8	10.5	9.9	10.3	10.6	10.1	10.4	10.2	10.5	11	9.4	11	11	11	12	12	11	12	9.9	11	12	11	10	11	10	12	10	11	11	11	11	11	11	12	-0.300950075
73	Glutathione(ox)	Glutathione disulfide	C00127				5.5	6.8	6.3	7.1	11	6	5.6	9.7	6.5	6.8	7.3	6.3	6.3	7.5	31	8.6	11	12	7	6.8	7.2	14	30	10	19.7	12.6	17.5	5.7	5.4	5.4	12.4	7.1	7.5	5.3	6.6	11.6	6.7	5.5	12.5	25.5	5.9	5	8	15.3	8	8.1	10.2	20	5.5	6	16	26	5	6.8	14	6.9	6.4	16	4.8	6.1	4.1	5.9	5.5	6.1	5.8	5.7	16	6.7	12	7.4	5.9	6.1	0.766075229
74	CMP-N-acetylneuraminate	CMP-N-acetylneuraminate	C00128				0.53	0.67	0.6	0.61	0.6	0.59	0.56	0.52	0.52	0.59	0.6	0.6	0.68	0.57	0.43	0.6	0.56	0.53	0.56	0.54	0.6	N.D.	N.D.	0.6	0.37	0.46	0.52	0.58	0.49	0.58	0.5	0.5	0.36	0.45	0.48	0.55	0.59	0.54	0.63	0.54	0.44	0.5	0.5	0.52	0.54	0.54	0.6	0.54	0.42	0.48	0.5	0.44	0.48	0.51	0.5	0.42	0.41	0.38	0.4	0.47	0.47	0.43	0.48	0.48	0.41	0.43	0.44	0.54	0.42	0.49	0.46	0.43	0.372633297
75	IMP	IMP	C00130				0.023	0.047	0.046	0.029	0.02	0.021	0.02	0.032	0.03	0.039	0.039	N.D.	0.03	0.025	0.026	0.044	0.036	0.041	0.058	0.035	0.032	0.029	0.034	0.044	0.043	0.053	0.069	0.053	0.053	0.055	0.031	0.048	0.045	0.055	0.059	0.052	0.056	0.044	0.037	0.059	0.053	0.07	0.054	0.054	0.044	0.042	0.037	0.054	N.D.	0.025	0.028	N.D.	0.02	0.015	0.019	0.028	0.028	N.D.	0.025	0.028	0.023	0.026	0.018	0.033	N.D.	0.032	0.032	0.024	0.022	0.022	0.023	0.044	0.325892443
76	dATP	dATP	C00131				N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	0.043	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	0.07	N.D.	N.D.	N.D.	N.D.	N.D.	0.051	0.069	0.061	0.034	0.031	0.056	0.052	0.047	0.043	0.045	0.054	0.053	0.057	0.045	0.038	0.072	0.042	0.055	0.067	0.064	0.06	0.068	0.033	0.05	0.022	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	0.029	-0.771763366
77	His	L-Histidine	C00135	C06419	C00768		3	3.3	3.6	3.7	3.6	3.5	3.4	3.2	3	3.3	3.5	3.2	3.3	3.2	3.1	3.1	3	3.1	3.3	3.2	3.4	3.1	2.8	3.1	3.1	3.1	3.2	3.3	3.1	3	2.9	3.1	2.7	2.8	2.8	2.8	2.8	2.7	2.6	2.7	2.6	2.8	3.1	2.7	2.7	2.7	2.8	2.9	2.5	2.7	2.9	3	3.1	3	2.8	3	2.7	2.9	3	2.8	2.9	2.9	2.7	3.1	2.6	3	3	2.9	3.2	2.9	2.7	3.1	-0.504298472
78	N-Acetylglucosamine	N-Acetyl-D-glucosamine	C00140				N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	0.25	0.23	0.23	0.25	0.27	0.21	0.17	N.D.	0.16	0.24	0.19	0.19	0.12	N.D.	0.13	N.D.	0.13	0.13	0.1	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	-0.734900645
79	GMP	GMP	C00144				0.046	0.057	0.054	0.056	0.052	0.05	0.038	0.058	0.056	0.055	0.056	0.053	0.047	0.041	0.033	0.048	0.053	0.038	0.051	0.051	0.041	0.034	0.041	0.038	0.062	0.056	0.053	0.059	0.054	0.045	0.038	0.055	0.043	0.047	0.054	0.055	0.043	0.038	0.046	0.064	0.046	0.041	0.068	0.048	0.056	0.043	0.047	0.045	0.04	0.042	0.046	0.048	0.038	0.035	0.027	0.039	0.026	0.04	0.051	0.036	0.03	0.039	0.039	0.034	0.035	0.034	0.04	0.037	0.028	0.031	0.031	0.032	-0.46254298
80	Adenine	Adenine	C00147				0.058	0.085	0.042	0.037	0.064	0.063	0.055	0.06	0.098	0.07	0.063	0.048	0.089	0.09	0.074	0.071	0.099	0.079	0.089	0.072	0.085	0.061	0.1	0.072	N.D.	N.D.	N.D.	N.D.	0.11	N.D.	N.D.	N.D.	0.08	0.062	N.D.	0.043	N.D.	0.047	0.047	0.07	0.047	0.044	0.06	0.041	0.046	0.053	0.044	0.04	N.D.	0.049	0.049	0.054	0.037	0.042	0.042	0.07	0.068	0.056	N.D.	N.D.	N.D.	0.027	0.04	0.043	0.062	0.029	0.028	0.023	0.05	0.041	0.037	0.045	0.211507842
81	Pro	L-Proline	C00148	C00763	C16435		2.4	3.3	3.4	3.8	3	3.4	3.2	2.9	2.3	3.3	3.1	3.6	3.3	3.2	3.3	3.2	2.5	3.1	3.1	3.3	3.9	3.3	3.4	3.8	1.7	1.9	2.3	2.8	2.3	2	1.8	2.1	1.6	1.8	2.1	2.3	2.4	2	2.1	1.9	1.7	1.9	2.2	2.4	2.7	2.5	2.5	2.8	1.4	2.5	2.6	2.9	2.9	2.4	2.3	2.1	1.6	2.5	2.7	2.7	3.1	2.5	2.5	2.6	1.7	2.3	2.6	2.6	3.5	2.6	2.5	2.9	0.442678234
82	Asn	L-Asparagine	C00152	C01905	C16438		17	19	20	21	21	22	24	23	18	19	19	20	21	22	23	25	18	18	19	20	22	22	22	25	17.5	15.7	16.9	17.5	18.8	18.8	19	22.7	16.9	16.1	16.2	17	18.3	18.2	20.7	23	16.9	16.4	16.2	16.7	19.1	19	21.6	25.3	15	16	16	18	19	19	20	21	17	16	17	17	18	19	19	24	16	16	16	17	19	19	20	24	0.304011543
83	Nicotinamide	Nicotinamide	C00153				0.21	0.15	0.29	0.17	0.14	0.15	0.17	0.18	0.11	0.13	0.19	0.17	0.15	0.14	0.18	0.13	0.18	0.13	0.13	0.13	0.14	0.13	0.18	0.14	0.079	0.12	0.1	0.1	0.11	0.13	0.13	0.15	0.14	0.1	0.11	0.11	0.11	0.12	0.13	0.14	0.12	0.12	0.1	0.12	0.1	0.11	0.13	0.12	0.12	0.12	0.1	0.11	0.1	0.11	0.11	0.12	0.097	0.081	0.1	0.08	0.11	0.11	0.13	0.12	0.12	0.095	0.14	0.1	0.11	0.12	0.15	0.12	-0.211180089
84	Glycolate	Glycolate	C00160				N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	1.8	N.D.	N.D.	N.D.	1.1	N.D.	N.D.	N.D.	1.4	N.D.	N.D.	N.D.	N.D.	1	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	0.83	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.
85	UDP-glucuronate	UDP-glucuronate	C00167				3.9	4.5	4	3.1	3.4	3.4	3.1	3.4	4.2	3.8	3.8	3.2	3.8	3.9	3.3	3.7	4.2	3.5	3.7	3.1	3.7	3.5	3.4	3.7	3.8	4.1	4	4.4	4.1	4.2	3.5	4	3.3	3.8	3.7	3.7	4.3	3.5	4.1	4.5	3.9	4.2	3.8	4	4.8	4.4	3.9	4.1	2.7	3.1	2.6	2.5	2.5	2.5	2.4	2.4	2.4	2.7	2.5	2.3	3.1	2.5	2.2	2.9	2.7	2.7	2.6	2.3	2.8	2.3	2.4	3	0.219186828
86	Carbamoylphosphate	Carbamoyl phosphate	C00169				1.6	N.D.	N.D.	N.D.	N.D.	N.D.	1.6	N.D.	1.5	1.3	N.D.	N.D.	2.1	N.D.	N.D.	1.8	2.5	1.8	N.D.	N.D.	N.D.	N.D.	N.D.	1.8	0.91	1.8	1.4	1.8	N.D.	1.8	N.D.	N.D.	N.D.	1.4	N.D.	1.3	0.76	1.1	N.D.	1.1	1.7	2.1	N.D.	N.D.	N.D.	1.1	N.D.	1.2	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	1.9	N.D.	N.D.	N.D.	1.7	N.D.	N.D.	N.D.	N.D.	1.7	N.D.	N.D.	2	2.3	N.D.	N.D.	N.D.	N.D.	-0.470950923
87	5-Methylthioadenosine	5'-Methylthioadenosine	C00170				1.5	1.7	1.2	1.1	0.85	1.6	1.2	1.7	1.7	1.3	1.4	1.1	1.2	1.3	1.2	1.4	1.8	1.5	1.5	1.3	1.4	1.2	1.8	0.99	0.064	0.064	0.053	0.058	0.058	0.055	0.047	0.049	0.066	0.043	0.042	0.029	0.043	0.033	0.045	0.054	0.047	0.035	0.036	0.047	0.039	0.038	0.042	0.044	0.67	0.81	0.56	0.7	0.67	0.73	0.61	0.72	0.73	0.72	0.44	0.52	0.62	0.72	0.66	0.51	0.64	0.58	0.59	0.63	0.69	0.65	0.7	0.87	0.114795223
88	Thymine	Thymine	C00178				N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	0.042	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.
89	Agmatine	Agmatine	C00179				N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	0.017	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	0.014	N.D.	N.D.	N.D.	0.019	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	0.0064	0.0065	0.012	0.0055	N.D.	0.023	N.D.	0.0091	0.0082	0.0063	0.0057	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.
